emp_id,name,department,city,salary,join_date,performance_score
101,Alice,IT,New York,72000.0,2019-06-15,88
102,Bob,HR,Boston,58000.0,2020-08-01,77
103,Charlie,Finance,Chicago,67000.0,2018-01-10,91
104,David,IT,Boston,75000.0,2017-03-25,85
105,Eve,Finance,New York,69000.0,2021-07-11,92
106,Frank,IT,Chicago,,2019-11-04,80
107,Grace,Marketing,San Francisco,61000.0,2020-12-23,84
108,Heidi,IT,San Francisco,74000.0,2016-10-18,88
109,Ivy,Marketing,Boston,60000.0,2018-05-29,76
110,John,HR,New York,59000.0,2021-03-13,79
111,Kate,Finance,Chicago,73000.0,2019-02-20,89
112,Leo,IT,Boston,77000.0,2022-01-01,95
113,Mike,Marketing,New York,61000.0,2017-09-15,82
114,Nina,HR,San Francisco,62000.0,2016-06-22,80
115,Owen,Finance,Chicago,68000.0,2018-12-19,73
116,Paul,IT,New York,76000.0,2021-10-05,90
117,Quinn,Marketing,Boston,,2019-05-30,85
118,Rachel,Finance,San Francisco,71000.0,2020-04-17,88
119,Steve,HR,Chicago,60000.0,2021-02-10,81
120,Tina,IT,San Francisco,72000.0,2018-08-28,87
